symbol,entry_idx,exit_idx,entry_time,exit_time,direction,entry_price,exit_price,qty,multiplier,atr_entry,pnl,r_mult,risk_amt,bars_held,exit_reason,equity_at_entry
SA0,6205,6207,2025-11-10 02:00:00,2025-11-10 03:00:00,-1,1196.0,1202.95978340581,6,20.0,6.227536804171269,-835.174008697195,-0.7450547061826246,1120.9566247508283,2,stop,3116303.400034952
FG0,6192,6209,2025-11-07 01:30:00,2025-11-10 06:00:00,-1,1096.0,1070.950183997933,7,20.0,6.95314638667889,3506.9742402893826,2.401772723598287,1460.160741202567,17,stop,3116303.400034952
JM0,6197,6209,2025-11-07 06:00:00,2025-11-10 06:00:00,-1,1263.5,1266.8619178236474,2,60.0,9.675931054543101,-403.43013883769345,-0.23163440670094051,1741.6675898177582,12,stop,3116303.400034952
CU0,5620,5632,2025-11-10 01:30:00,2025-11-10 15:30:00,1,86570.0,86380.2081881359,1,5.0,237.72655403331328,-948.9590593204775,-0.5322412344324521,1782.9491552498496,12,stop,3116303.400034952
SC0,5193,5198,2025-11-10 15:00:00,2025-11-10 17:30:00,-1,457.8,459.88160346360274,1,1000.0,1.8108059335146665,-2081.6034636027325,-0.7663635383104304,2716.2089002719995,5,stop,3118463.3583962093
SA0,6209,6218,2025-11-10 06:00:00,2025-11-11 02:30:00,1,1217.0,1220.5251450609699,6,20.0,8.26849954872802,423.01740731638347,0.28422287423052073,1488.3299187710436,9,stop,3115359.8142947573
P0,6207,6223,2025-11-10 03:00:00,2025-11-11 13:00:00,1,8676.0,8734.1052400446,1,10.0,36.11021403664497,581.0524004460058,1.0727387729435753,541.6532105496744,16,stop,3116303.400034952
SC0,5209,5221,2025-11-11 13:30:00,2025-11-12 02:00:00,1,464.8,467.58808277554095,1,1000.0,1.7490198992394324,2788.0827755409427,1.0627219571194704,2623.529848859149,12,stop,3116436.8656810485
HC0,6224,6230,2025-11-11 13:30:00,2025-11-12 02:30:00,1,3262.0,3250.932459408792,4,10.0,9.843133329281107,-442.70162364831776,-0.7495946816233473,590.5879997568663,6,stop,3115855.8132806025
SA0,6231,6239,2025-11-12 03:00:00,2025-11-13 01:00:00,-1,1210.0,1220.4314110782602,6,20.0,7.447213472537106,-1251.769329391227,-0.9338088773497065,1340.498425056679,8,stop,3118782.246832941
SC0,5230,5246,2025-11-12 14:30:00,2025-11-13 13:00:00,-1,458.5,452.2,1,1000.0,2.0158181351596403,6300.000000000011,2.0835212893187873,3023.7272027394606,16,stop,3118782.246832941
P0,6245,6248,2025-11-13 06:00:00,2025-11-13 13:30:00,1,8760.0,8702.181608238763,1,10.0,39.59904930749036,-578.1839176123685,-0.9733969673913393,593.9857396123555,3,stop,3117530.47750355
SA0,6240,6250,2025-11-13 01:30:00,2025-11-13 14:30:00,1,1225.0,1232.0025731813666,6,20.0,7.508143607188731,840.3087817639971,0.6217758163870649,1351.4658492939714,10,stop,3117530.47750355
IC0,6813,6820,2025-11-13 02:00:00,2025-11-14 01:30:00,1,7206.4,7215.3831892815715,1,200.0,43.25862476425524,1796.6378563143735,0.1384415914056012,12977.587429276571,7,stop,3117530.47750355
IM0,6417,6424,2025-11-13 02:00:00,2025-11-14 01:30:00,1,7410.6,7427.009227094032,1,200.0,43.85984187666752,3281.8454188063697,0.24941915568496692,13157.952563000254,7,stop,3117530.47750355
RM0,6247,6252,2025-11-13 13:00:00,2025-11-14 01:30:00,-1,2492.0,2493.7755315689806,6,10.0,12.764774253855789,-106.5318941388341,-0.09273079876803635,1148.8296828470209,5,stop,3117530.47750355
SC0,5258,5262,2025-11-14 01:30:00,2025-11-14 05:30:00,1,457.2,457.805172843814,1,1000.0,2.175741379631157,605.172843813989,0.18543038539399107,3263.612069446736,4,stop,3124092.6023677015
TA0,6249,6258,2025-11-13 13:00:00,2025-11-14 05:30:00,1,4704.0,4689.811047549422,6,5.0,22.33607769989197,-425.66857351733233,-0.4234987790073925,1005.1234964951385,9,stop,3117530.47750355
RM0,6253,6259,2025-11-14 02:00:00,2025-11-14 13:00:00,1,2492.0,2483.24447226802,6,10.0,14.265805256987871,-525.331663918787,-0.4091615147436107,1283.9224731289085,6,stop,3129064.553748683
SA0,6260,6263,2025-11-14 13:30:00,2025-11-17 01:00:00,-1,1217.0,1226.8460714560254,6,20.0,6.7612820709925625,-1181.5285747230428,-0.9708288411027096,1217.0307727786612,3,stop,3128718.726355061
